0 0 0 0 4 10 11,"c__ NOUN

An ornamental covering spread over a horse's saddle or harness.",1/15/2019,caparison,,/kəˈparɪs(ə)n/,
0 0,"f__ NOUN

mass noun
An abundant rock-forming mineral typically occurring as colourless or pale-coloured crystals and consisting of aluminosilicates of potassium, sodium, and calcium. 長石",1/16/2019,feldspar,"
(also felspar)",/ˈfɛldspɑː/,
,"NOUN

mass noun
1The leaf of an Asian evergreen climbing plant, which in the East is chewed as a mild stimulant.
2The plant, related to pepper, from which ___ leaves are taken.
Piper ___, family Piperaceae キンマ",1/18/2019,betel,,,
8,"ADJECTIVE

Geology 
(of a rock or mineral) containing iron and magnesium as major components.
‘The example from the granite at Lime Crest quarry is very low in magnesium relative to those found in rocks containing more ___ minerals.’苦鉄質鉱物",1/17/2019,ferromagnesian,,,
0 0 11,"h__ NOUN

mass noun
A dark brown, black, or green mineral consisting of a silicate of calcium, magnesium, and iron, occurring in many igneous and metamorphic rocks. 普通角閃石",1/19/2019,hornblende,,/ˈhɔːnblɛnd/,
11,"ADJECTIVE

1Lying stretched out on the ground with one's face downwards.
‘there was a man praying before an idol, lying ___’
‘they surged forward around the ___ figure on the ground’
2Botany 
Growing along the ground.
‘mats of ___ herbs can be used to break up expanses of soil’",1/20/2019,prostrate,,/ˈprɒstreɪt/,
10,"NOUN

mass noun
The chemical element of atomic number 19, a soft silvery-white reactive metal of the alkali metal group.
___ is a member of the alkali metal group, and its compounds occur widely in minerals and in seawater. The metal itself has few uses, but its compounds are used in the manufacture of fertilizers, soaps, and glass. In the body, ___ ions are involved in the transmission of nerve impulses and are an important constituent of the fluid within cells カリウム",1/22/2019,potassium,,/pəˈtasɪəm/,
0,"NOUN

mass noun
Geology 
A dense, coarse-grained plutonic rock containing a large amount of olivine, believed to be the main constituent of the earth's mantle. 橄欖岩",1/23/2019,peridotite,,,
0 0,"ADJECTIVE

1(of iron or steel) given a wavy pattern by hammer-welding and repeated heating and forging.
‘a ___ blade’象嵌
2(of a metal object) inlaid with gold or silver decoration.
‘a pocket looking glass, silver ___ with gold’",1/25/2019,damascened,,,
,"NOUN

mass noun
1The action of calling into question the integrity or validity of something.
‘the prosecutor's detailed ___ of the character witness’
1.1British A charge of treason or another crime against the state.
‘the king cynically abandoned him, encouraging his ___’
1.2US A charge of misconduct made against the holder of a public office.
‘the president is facing ___ over the scandal’
count noun ‘all __s shall be tried by the Senate’",1/28/2019,impeachment,,,
0 8,"o__ NOUN

mass noun
1An earthy pigment containing ferric oxide, typically with clay, varying from light yellow to brown or red.
with modifier ‘yellow ___’
1.1 A pale brownish yellow colour.",1/21/2019,ochre,"
(US ocher)",,
0 8,"ADJECTIVE

Geology 
1(of rock) having solidified from lava or magma. 火成岩
1.1 Relating to or involving volcanic or plutonic processes.
‘___ activity’
1.2rare Of fire; fiery.",1/24/2019,igneous,,,
0 0 7 10 11,"h_10_ NOUN

usually __s
archaic 
Clothing.
‘One in these __s is prone to dream, are they not?’",1/27/2019,habiliment,,,
8,"NOUN

mass noun
historical 
1A former practice in India whereby a widow threw herself on to her husband's funeral pyre.
1.1count noun A widow who committed ___.",1/27/2019,sati,"
(also suttee)",,
