oc0 22 21,"e__ verb [with object]
Cause or give rise to (a feeling, situation, or condition):
the issue ___d continuing controversy
? archaic (Of a father) beget (offspring).",11/29/2015,engender,,,,,,,
oc oc0 oc0 oc0 oc1,s__ adj ~(about sth) (fml) hopeful; optimistic (optimism): She remained ____ about our chances of success. + He takes a less ____ view of the future than most analysts.,,sanguine,,,,,,,
oc oc0,"v,n <-> flow",,ebb,,,,,,,
oc oc0 oc2 oc1 21,s__ n [U] 1 the natural height of the body: be small in ____/short of ____. 2 importance and reputation gained by ability or achievement: a scientist of international ____ + her growing political ____.,7/9/2011,stature,,,,,,,
oc0,"noun [mass noun] Biology
Interaction between two different organisms living in close physical association, typically to the advantage of both. 
? [count noun] A mutually beneficial relationship between different people or groups:
a perfect mother and daughter ____",7/25/2015,symbiosis,,,,,,,
oc oc0 oc0 oc2,"g__ '+1 n 1 [C] the larva of an insect 2[U](infml) food. +2 v 1 ~around/about (for sth)(esp in the continuous tenses) to search for sth, esp by digging or moving things around: [Vpr] a dog ___ing for a bone. ___y adj 1 dirty.",8/14/2011,grub,,,,,,,
6 oc0  oc0 ,"o__ 1Medicine The blockage or closing of a blood vessel or hollow organ.
2 [count noun] Meteorology A process by which the cold front of a rotating low-pressure system catches up the warm front, so that the warm air between them is forced upwards off the earth’s surface between wedges of cold air.",8/1/2015,occlusion,,,,,,,
oc oc0 ,n a loud ringing sound of metal being struck: the ____ of the school bell. +___v to make or cause sth to make a _n_: [Vadv] The prison gates ___d shut.,7/2/2011,clang,,,,,,,
oc oc0 ,"+1 adj 1 easily moved to pity or sympathy; kind. 2 loving; gentle 3 (of food) easy to bite through; soft 5 painful when touched; sensitive. 6 (of age) early; not yet mature. +2 v to make an offer to carry out work, supply goods, etc at a stated price: [Vpr] Firms were invited to ____ for the construction of the new motorway.",8/14/2011,tender,,,,,,,
oc0 oc3,"adjective
1Denoting or relating to a liquid moving in a confined space under pressure:
____ fluid
2Relating to the science of ___s:
____ analysis of streams
3(Of cement) hardening under water.",7/5/2015,hydraulic,,,,,,,
oc0 oc3,"noun [mass noun]
Sleepwalking:
she would have liked to wake up from her ____ to find herself back in bed",7/8/2015,somnambulism,,,,,,,
oc oc3 oc3,having conrtol over one's own affairs; acting independently.,,autonomous,,,,,,,
oc,adj 1 (a) rough or loose in texture (b) consisting of large grains or thick pieces: ____ sand/salt. 2 (a) not polite or refined (b) rude 3 (of food) a low quality,,coarse,,,,,,,
oc0,"1Gather together and confine (a group of people or things):
the organizers were ___ing the crowd into marching formation
2chiefly North American Put or keep (livestock) in a _n_:
sheep and goats grazed the plains during the day but they were ___d at night",8/24/2015,corral,,,,,,,
