oc oc0 24,"p__ n a very steep side of a cliff, mountain or rock: (fig) The country's economy was on the edge of a/the ___ (ie in danger of colapsing)",,precipice,,,
oc oc0,"v ~sth (in sb/sth); ~sb/sth (with sth) (fml) (usu passive) to give sth as a firm or legal right to sb/sth: [Vnpr] Parliament is ___d with the power of making laws. +__d interest n a personal interest in a state of affairs, usu with an expectation of gaining sth:",,vest,,,
oc oc0 24,"_10_ to make sb feel very happy, lively or excited: [Vn] ___d by the news +We felt ___d by our walk along the beach.",,exhilarate,,,
oc oc0,d__ v 1 (a) (of a liquid) to make a solid become liquid: [Vn] Water ___s salt. 2 to remove or destroy sth: [Vn] a washing-powder that ___s stains.,,dissolve,,,
oc oc0 24 25,"n (a) [C] (pl unchanged or ___s) a large bird with a long tail, the male of which is brightly coloured. ___s are sometimes shot for sport and food: roast ___. キジ",8/29/2011,pheasant,,,
oc oc0 24 25,n[U] public shame or disgrace: suffer the ___ of defeat. +___ious adj deserving or causing one to feel ___: an ___ious defeat/failure. ___iously adv.,,ignominy,,,
oc oc0 25,adj given or done without careful judgement,,indiscriminate,,,
oc oc0 25,"p__ n (fml) 1 [U,C usu pl] a lack of basic comforts and things neccessary for life 2 [C usu sing] a state of not having sth, not neccessarily sth essential: She didn't find the lack of a car a great ___.",,privation,,,
oc oc0,"o__ v ~sb (from sth/as sth) to remove sb from a job or position of power, sometimes in order to take their place oneself: [Vn, Vnpr] ___ a rival (from office)",,oust,,,
oc oc0 24,"n a low unpleasant laugh, esp at sth rude or at another person's troubles, etc: His bad jokes brought embarrassed ___s from the audience.",,snigger,,,
oc oc0,v to exist or operate for a longer time than sb/sth: [Vn] This clock has ___d several owners. +I believe that jazz will ___ rock music in popular taste.,,outlast,,,
oc oc0 24 25,adj 1 feeling sick or making one feel sick: I feel a little ___ after last night's dinner 2 bad-tempered 3 of an unpleasant colour,,bilious,,,
oc oc0,e__ v ~oneself/sb/sth (from sth) (fml) to free or release oneself/sb/sth from sth; to disentangle oneself/sb/sth [Vnpr] The bird had to be ___d from the netting.,,extricate,,,
oc oc0,"v 1 (a) ~sth round/over sth to hang cloth, curtains, clothing, etc loosely on sb/sth. (b) ~ sb/sth in/with sth, to cover or decorate sb/sth with cloth, etc.",,drape,,,
oc oc0 oc3,"Ⅰ v to run with short quick steps: [Vp] the sound of mice ___ing about [Vpr] The rain sent people ___ing for shelter.
Ⅱ v [Vn] 1 to sink a ship deliberately by letting water into it or making holes in its side or bottom.",6/10/2011,scuttle,,,
0 8 7 oc0 oc1,"g__ verb [no object]
Talk rapidly and unintelligibly:
he ___d on in a panicky way until he was dismissed
noun [mass noun]
Rapid unintelligible talk:
she wasn’t very good at the random ____ of teenagers",8/27/2015,gabble,,,
oc oc0 24,"_u_ reviving after a period of little activity, poor performance, lack of popularity, etc.",,resurgent,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
oc0,"h__ noun
1A buttock and thigh considered together, in a human or animal.
? [mass noun] The leg and loin of an animal, especially a deer, as food:
____ of venison
2Architecture The side of an arch, between the crown and the pier.",1/3/2016,haunch,,,
oc,"adj 1 (of humans or animals) not able to produce or young 2 free from bacteria, etc 3 (of discussion, communication, etc) not producing any useful results 4 (of land) not good enough to produce crops.",,sterile,,,
oc oc0 24,"IDM 1 (of payment) in goods, produce or services, not in money: The farmer sometimes used to pay me ___ ___ (eg with a sack of potatoes). 2 with something similar: repay insults ___ ___ (ie by being insulting in return).",,in kind,,,
oc oc0 oc2 oc1 24,to walk slowly with heavy steps or with difficulty,,plod,,,
oc oc0 oc0 oc2 24 25,adj not graceful in movement or shape; awkward,,clumsy,,,
oc oc0 oc0 oc2 24 25,"s__ easily excited, difficult to control; lively and playful",,skittish,,,
oc oc0 24 25,"n (usu pl) a fault, eg in sb's character, a plan or a system; a defect: She was fully aware of her own ___.",,shortcoming,,,
oc oc0 24 25,v (fml) to put sth forward for consideration or solution [Vn] ___ an idea/a policy/ a scheme,,propound,,,
oc oc0 25 25,v 1 to suppress or control sth: ___ a yawn/laugh/cry/sob2 to feel or make sb feel unable to breathe properly because of lack of fresh air. 3 to make a fire stop burning.,,stifle,,,
oc oc0 24 24,"adj arranged for the present time only, but possibly to be changed later; temporary: The booking is only ___. +a ___ driving-license.",,provisional,,,
oc,n 1 [C] a measure of grain and fruit (in the UK 8 gallons or about 36.4 litres). 2 ___s (pl) (US infml) a large amount.,4/22/2011,bushel,,,
oc0,"noun
(also ___ tree)A coniferous tree which has red berry-like fruits, and most parts of which are highly poisonous. ___s are linked with folklore and superstition and can live to a great age; the timber is used in cabinetmaking and (formerly) to make longbows.イチイ",4/10/2016,yew,,,
oc oc0,"g_5_ n 1 [U] a very bright and unpleasant light: the ___ of the sun +(fig) The hearings were conducted in the full ___ of publicity (ie with constant attention from newspapers, television, etc). 2 [C] an angry, fierce or fixed look: give sb a hostile ___. 
v",7/22/2011,glare,,,
oc oc0,n 1 the roof of the mouth: the hard/soft ___. 2 (usu sing) a sense of taste; an ability to distinguish one taste from another.,4/22/2011,palate,,,
oc,a__ n 1 (a) [U] the scientific study of the structure of human or animal bodies: a professor of ___. (b) [C] the structure of an animal or a plant: the ___ of the frog. 2 [C] (joc) a person's body: Various parts of his ___ were clearly visible. 3 [C] an analysis or examination of sth.,4/26/2011,anatomy,,,
oc,"c__ v 1 (a) to move, esp down a hill, in a car, on a bicycle, etc, without using power: [Vadv] ___ downhill to save petrol (b) to make progress without much effort. 2 to sail from port to port along a ___.",4/26/2011,coast,,,
oc oc0 24,"n 1 [C] a number of animals, esp cattle, feeding or staying together: a ___ of cows/deer. v 1 to move or drive sb/sth.",4/22/2011,herd,,,
oc 24,"r__ v (fml) to repeat sth that has already been said, esp for emphasis [Vn] ___ an argument/a demand/an offer [V. that] Let me ___ that we are fully committed to this policy.",,reiterate,,,
oc,"c__ adj (usu approv) 1 (a)(esp of food) hard, dry and easily broken: a___ cracker biscuit. (b) (esp of fruit or vegetables) firm and fresh. (c) (esp of paper or cloth) slightly stiff +a ___ white shirt. 2 (of the air or the weather) dry and cold. 3 (of hair) tightly curled.",4/27/2011,crisp,,,
oc oc0 25,"n [C,U] (a period of) continuous dry weather, esp when there is not enough water for people's needs: areas of Africa affected by ___.",,drought,,,
oc0 25,"adjective
Unpleasantly damp and cold:
huge ___ caverns",4/10/2016,dank,,,
oc oc0 24,v ~sb/oneself with sth (fml) to make sb/oneself familiar with or aware of sth: [Vnpr] Please ___ me with the facts of the case.,4/19/2011,aquaint,,,
oc,"n 1 a pig bred for its meat, esp castrated male pig. 2 (infml derog) a person who wants too much of sth, esp food, or thinks only of herself or himself. IDM go the whole ___ (infml) to do sth thoroughly or completely v (infml) to take more than one's fair share of sth.",12/7/2011,hog,,,
oc oc0 24 25,n a sudden and complete failure or collapse; a FIASCO: a political/a bureaucratic/an economic ___ + the ___ of the summit talks.,3/17/2011,debacle,,,
oc oc0,"g__ v to move the hands or arms (usually rapidly) instead of speaking or to emphasize one's words: [V, Vpr] He was ___ing wildly (at me), but I couldn't understand what he was trying to tell me. ___tion n",5/2/2011,gesticulate,,,
oc,"c__ n (usu pl) a round stone formerly used for covering the surfaces of roads, etc: The cart clattered over ___s. v (dated) to repair shoes.",4/20/2011,cobble,,,
oc,"n 1 [C] clothes worn together as a set, esp for a particular occasion or purpose: a skiing ___ 2 [C] all the equipment or articles needed for a particular purpose: a bicycle repair ___. 3 [CGp] (infml) a group of people working together: a small publishing ___.",9/23/2011,outfit,,,
oc oc0 25,IDM to be unwilling to go beyond a certain limit in one's actions: He suspected his boss of acting dishonestly but ___d ___ ___ accusing him of anything.,3/7/2011,stop short of,,,
oc oc0,"n 4 [C] (infml) (a) a person who reacts in a generous, cheerful and pleasant way, even in an awkward situation: Please be a ___ and lend me your bike.",9/16/2011,sport,,,
oc oc0 24,v 1 to make a hole with a tool or by digging: [Vpr] This drill can ___ through rock. 2 to move by digging or pushing: [Vnpr] He ___d his way to the front of the crowd. +___ n 1 the hollow part inside a gun barrel; the width of this part: a twelve-___ shotgun.,8/15/2011,bore,,,
oc0 oc3 24,"c__ adjective
(Of a disease or physical abnormality) present from birth:
a ___ malformation of the heart
? (Of a person) having a particular trait from birth or by firmly established habit:
a ___ liar",2/22/2016,congenital,,,
oc oc0 24 25 25,"adj (medical) tending to prevent a disease: ___ treatment. +___ n (fml or techn) 1 a ___ medicine, device or course of action. 2 (esp US) = condom",4/11/2011,prophylactic,,,
6 oc3 25,"c__ noun
(Especially in a Spanish-speaking country or the south-western US) a bar.
? (In Italy) a wine shop.",2/2/2016,cantina,,,
oc oc0,n ~(with sb) a confused struggle between people who are close together: be involved in a ___ with other passengers v,5/3/2011,scuffle,,,
oc oc0,"f__ n a small fierce animal kept for driving rabits from their holes, killing rats, etc. v 2 to search.",4/20/2011,ferret,,,
oc oc0,"adj 1 of the highest degree or quality: a ___ achievement/performance. 2 (grammar) of adjectives or adverbs that express the highest or a very high degree, eg best, worst, slowest, most difficult. n ___ly adv",9/17/2011,superlative,,,
oc,"n 1 a mark or sign in the form of a long line left by sth or sb passing by: The hurricane left a ___ of destruction behind it. 2 a path, esp through rough country: a ___ through the forest. +___ v 1 to drag sth or be dragged behind 2 to walk or move in a tired way, esp behind or later than others: [Vp] The tired children ___d along behind their parents. 3 to be losing a game 5 to follow the ___ of sb/sth",9/24/2011,trail,,,
oc oc0,ガラガラヘビ,7/29/2011,rattlesnake,,,
oc oc0 24,"v to pull sth along with a rope, chain, etc: [Vn] ___ a caravan [Vnp] If you park your car here the police might __ it away. + ___n IDM in ___ (infml) with sb/sth following behind: He had his whole family in ___. on ___ being ___d",9/13/2011,tow,,,
oc oc0,"v 1 ~sth(with sth) to add flavour to food, eg with salt, pepper or other spices: [Vnpr] ___ the lamb with garlic and rosemary. 2 (usu passive) to make wood fit for use by exposing it to the weather.",5/17/2011,season,,,
oc oc0 24,"n 1 a large piece of sth that is cut from a larger piece: a ___ of bread/cheese/meat. 2(sl usu approv) a big strong, esp an attractive one: He's a real ___.",5/16/2011,hunk,,,
oc oc0 24,adj based on or achieved through polite discussion and without quarrelling: restore ___ relations between the two sides ___ly adv,5/2/2011,amicable,,,
oc oc0 24,"1. a tiny organism, esp one that causes disease 2. a portion of a living organism capable of becoming a whole new organism; the embryo of a seed 胚 3. the beginning from which sth may develop",,germ,,,
,"adjective
Sounding harsh and unpleasant:
noun
A framework of parallel or crossed bars, typically preventing access through an opening while permitting communication or ventilation.",8/8/2015,grating,,,
0 oc0 oc1,"noun
An extensive fire which destroys a great deal of land or property:
tinder-dry conditions sparked fears of a ____ in many drought-devastated communities",4/30/2015,conflagration,,/?k?nfl???re??(?)n/,"Late 15th century (denoting consumption by fire): from Latin conflagratio(n-), from the verb conflagrare, from con- (expressing intensive force) + flagrare 'to blaze'"
oc oc0 oc2 oc1 oc1 oc3,r_9_ causing a feeling of strong dislike or disgust: I find his racist views deeply ____.,,repugnant,,,
oc oc0 oc2 24 25,i_12_ adj (fml derog) unwilling to change one's views or be persuaded to agree about sth; stubborn: Owing to their ___ attitude we were unable to reach an agreement.,,intransigent,,,
oc oc0,m__ n [U] a plant with small white berries that grows esp on apple trees and is hung indoors as a Christmas decoration: the tradition of kissing under the ___.,8/29/2011,mistletoe,,,
oc oc0,v__ n [U] the flesh of a calf used as meat: ___ cutlets.,5/16/2011,veal,,,
oc oc0 24,"l__ adj 1 (of people or animals) without much flesh; thin and fit: a ___ athletic body. 2 (of meat containing little or no fat. 3 [esp attrib] (b)(of a period of time) producing little of value: Last season's leading goal-scorer, he's having a ___ time (of it) this year.",5/15/2011,lean2,,,
,,,,,,
oc oc0 24,"o__ n 1 [U] a strong feeling of anger and shock: There has been public ___ over the recent terrorist attacks. 2[C] an act or event that is violent, cruel or very wrong and that shocks people or makes them very angry.",,outrage,,,
oc oc0,w__ イタチ,4/18/2011,weasel,,,
oc oc0 24 24 25,e__ adj 1 intentionally not direct or completely honest 2 (of an action) done in order to avoid a dangerous or unpleasant situation,,evasive,,,
oc oc0,g__ adj 1 (fml or rhet) brave: a ___ knight/soldier + a ___ deed/effort/struggle. 2 fine; grand; noble: a ___ ship. 3 (of a man) giving special attention and respect to women.,2/20/2011,gallant,,,
oc oc0,s__ adj 3 (esp fml)(of people) thin: a tall ___ figure. 4 simple and plain: a few ___ pieces of furniture + a ___ prose style.,8/9/2011,spare,,,
oc,"p__ v (a) (of a cat) to make a low continuous sound in the throat, esp when pleased or comfortable. (b) (of machinery) to make a similar smooth regular sound; to move making such a sound: [Vp] The car ___d a long smoothly in top gear. (c) to speak in a low voice, eg when expressing happiness or satisfaction.",8/10/2011,purr,,,
oc oc0 oc3 24 25,"c_9_ to make sth tight, smaller or narrower",,constrict,,,
oc oc0 24 25,"n (esp formerly) an older person, usu a woman, who looks after a girl or a young single woman on social occasions. v",8/31/2011,chaperone,(also chaperon),/??ap?r??n/ ,
oc oc0 oc3 25,m__ a situation that is confusing and complicated or prevents progress: a ___ of confusion/doubt/despair +be caught up in/bogged down in/floundering in a ___ of bureaucratic procedures.,,morass,,,
oc oc0 24 25,"f__ n 1 [C] a false or mistaken belief: It is a common ___ that a heavy tax on cars will solve all London's transport problems. 2 [C, U] false reasoning or a false argument: a statement based on ___.",,fallacy,,,
oc oc0 25,1 to make sth by ___ing: ___ ___ a path through the jungle 2 (infml) (esp imperative) to stop doing or saying sth annoying: I'm sick of you two squabbling --- just ___ it ___!,9/24/2011,cut sth out,,,
oc oc0 24,"n 1 [U,sing] the general tendency or direction of sb's actions, words or thoughts: be on the right/wrong ___. +It would be unwise to change ___ now 2 [C] (nautical)(of boats with sails) a course at an angle to the front of the boat, sailed with the wind blowing towards oneside.",2/19/2011,tack,,,
oc oc0,"PHR V (of a vehicle or its driver) to move away from the side of the road, etc: A car suddenly ___d ___ in front of me.   ~(of sth)(of a train) to leave a station.   ~sth~(of sth) to withdraw or make sb/sth withdraw from sth: They are ___ing their troops ___ of the war zone.",9/25/2011,pull out,,,
oc,"v to injure or damage sb/sth very severely, eg by breaking or tearing off a necessary part: Intruders slashed and ___d several paintings. ___tion",9/28/2011,mutilate,,,
oc,involving physical force only and not thought or reason,,brute,,,
oc oc0,"p__ adj (fml esp approv) very careful to carry out one's duties correctly, showing great attention to details of behaviour: a ___ butler +a ___ observance of the formalities.",3/4/2011,punctilious,,,
oc oc0,"q__ n a unit for measuring liquids, equal to 2 pints or approximately 1.14 litres in the UK, and equal to 0.94 of a litre in the USA. IDM put a ___ into a pint pot (to try to) do sth that is impossible.",5/6/2011,quart,,,
oc,ハゲワシ・コンドル,9/30/2011,vulture,,,
oc oc0 oc1,s_6_ adj excellent; splended: a ___ player/meal/view +The weather was absolutely ___. +___ly adv: ___ly written +She played ___ly.,9/21/2011,superb,,,
oc,"n the smallest unit, usu consisting of a group of atoms, into which a substance can be divided without a change in its chemical nature: A ___ of water consists of two atoms of hydrogen and one atom of oxygen. ___ar adj",11/14/2011,molecule,,,
oc,"p_5_ v 1(a)~sth(with sth) to make a tiny hole in sth with a sharp point: [Vnpr] ___ holes in paper with a pin. (b) ~sth(on/with sth) [Vnpr] She ___d her finger on/with a needle. 3 to cause mental discomfort to sb
n 2(sl derog) a stupid or unpleasant man. 3 (b) a pain caused by being ___d",7/31/2011,prick,,,
oc oc0,f__ adj (a) done secretly and quietly so as not to be noticed: a ___ glance.(b)(of people or their behaviour) nervous or attracting suspicion; suggesting that one is guilty of sth or does not want to be noticed.,6/22/2011,furtive,,,
oc oc0,t__ n [U] 1 the art or practice of printing. 2 the style or appearance of printed matter: a high standard of ___.,4/7/2011,typography,,,
