oc oc0 oc3,NOUN mass noun Chemistry A colourless pungent gas in solution made by oxidizing methanol.  Alternative name: methanal; chemical formula: CH₂O,10/21/2013,formaldehyde,,
oc oc0 oc3,"NOUN in singular A loud, unpleasant, and prolonged noise.  ‘the fans made an awful ___’",1/13/2013,din,,
oc oc0 oc3,NOUN 1A slope from the horizontal or vertical in carpentry and stonework; a sloping surface or edge.  ‘a very small 45° ___ is ground on the top surface’    1.1A tool for marking angles in carpentry and stonework.,11/27/2013,bevel,,
oc oc0 oc3,"NOUN 1A thing serving as a visible or tangible representation of a fact, quality, feeling, etc.  ‘I wanted to offer you a small ___ of my appreciation’ ‘mistletoe was cut from an oak tree as a ___ of good fortune’",1/30/2014,token,,
oc oc0,"n 1A simple device for calculating, consisting of a frame with rows of wires or grooves along which beads are slid.    2Architecture The flat slab on top of a capital, supporting the architrave.",11/22/2013,abacus,,
oc oc0,"v [WITH OBJECT] 1Ornament (an object) by embedding pieces of a different material in it, flush with its surface.  ‘mahogany panelling ___d with rosewood’    1.1Embed (material or a design) flush with the surface of an object.",11/23/2013,inlay,,
oc oc0,"VERB 1with object Set apart from the rest or from each other; isolate or divide.  ‘apprehensions about groups ___d from the rest of society’    1.1Separate or divide along racial, sexual, or religious lines. ‘blacks were __d in churches, schools, and colleges’",4/5/2013,segregate,,
oc oc0,g__ v [NO OBJECT] informal Go from place to place in the pursuit of pleasure.  ‘he had heard that I was __ing about with an airline stewardess’,4/14/2013,gad,,
oc oc0,"r__ NOUN mass noun The action of getting rid of a troublesome or unwanted person or thing.  ‘the new movement emphasized discipline, not ___ or punishment as a method of solving the criminal problem’",11/19/2013,riddance,,
oc oc0,"p__ NOUN A person who advocates a theory, proposal, or course of action.  ‘a strong ___ of the free market and liberal trade policies’",5/26/2013,proponent,,
oc oc0,"ADJECTIVE informal Done, made, or happening only once.  ‘a ___ benefit show’",12/12/2013,one-off,,
oc oc0,_12_ ADJECTIVE Very unhappy and unable to be comforted.  ‘she left Fritz looking ___’,5/31/2011,disconsolate,,
oc oc0,"NOUN A person actively engaged in an art, discipline, or profession, especially medicine.  ‘patients are treated by skilled ___s’",12/17/2013,practitioner,,
oc oc0,"NOUN 1usually ___s The area within the walls or perceived boundaries of a particular building or place.  ‘a former MP who still works in the ___s of the House’    1.1An enclosed or clearly defined area of ground around a cathedral, church, or college. ‘the ___s of the abbey church’",12/21/2013,precinct,,
oc oc0,"VERB [WITH OBJECT] 1Feel or show sorrow for the death of (someone), typically by following conventions such as the wearing of black clothes.  ‘Isobel ___d her husband’ no object ‘she ___d for her friends who died in the accident’",2/20/2013,mourn,,
oc oc0,NOUN 1The character and atmosphere of a place.  ‘the relaxed ___ of the cocktail lounge is popular with guests’    1.1Quality or character given to a sound recording by the space in which the sound occurs.,12/26/2013,ambience,,
oc oc0,"VERB [WITH OBJECT] 1Make ineffective; nullify.  ‘alcohol ___s the effects of the drug’    2Logic Grammar Make (a clause, sentence, or proposition) negative in meaning.",8/16/2013,negate,,
oc oc0,ADJECTIVE Of only average quality; not very good.  ‘he is an enthusiastic if ___ painter’,12/2/2013,mediocre,,
oc oc0,NOUN 1A town or district which is an administrative unit.     1.1British A town (as distinct from a city) with a corporation and privileges granted by a royal charter.    1.2British historical A town sending representatives to Parliament.,1/12/2014,borough,,
oc oc0,"NOUN 1A joint formed by one or more tapered projections (tenons) on one piece which interlock with corresponding notches or recesses (mortises) in another.    1.1A tenon used in a ___ joint, typically wider at its extremity. ‘I purposely undersized my ___ tenons slightly, to make the raising go well.’",2/10/2013,dovetail,,
oc oc0,"NOUN 1technical Each of four quarters of a circle.    1.1Each of four parts of a plane, sphere, space, or body divided by two lines or planes at right angles. ‘the right upper ___ of the kidney’",9/13/2013,quadrant,,
oc oc0,n   An unacceptable or unwelcome person.  ‘Nabokov was ___ with the regime’,1/21/2014,persona non grata,,
oc oc0,"NOUN 1A green or brown film on the surface of bronze or similar metals, produced by oxidation over a long period.  ‘many bronzes have been overcleaned, their original ___ removed and artificially replaced’",1/25/2014,patina,,
oc oc0,VERB [WITH OBJECT] Eat or drink (something) greedily.  ‘he would ___ his ale’ ‘this car ___s petrol’,2/1/2014,guzzle,,
oc oc0,"NOUN mass noun A sensation of whirling and loss of balance, associated particularly with looking down from a great height, or caused by disease affecting the inner ear or the vestibular nerve; giddiness.",9/30/2013,vertigo,,
oc oc0,ADJECTIVE Having or denoting a jagged edge; sawlike.  ‘a knife with a ___ edge’,2/17/2014,serrated,,
oc oc0,"b__ ADVERB In an uncompromisingly forthright way.  ‘a colleague ___ told him that he had no business asking for the status report’ ‘to put it ___, investors are suffering from a crisis’",2/18/2014,bluntly,,
oc oc0,t__ ADJECTIVE 1Holding or constituting a purely formal position or title without any real authority.  ‘the queen is ___ head of the Church of England’ ‘a ___ post’,2/22/2014,titular,,
oc oc0,"VERB 1Give or cause to give a short, sudden jerking or convulsive movement.  no object ‘her lips ___d and her eyelids fluttered’ with object ‘the dog ___d his ears’    1.1with object and adverbial Cause to move in a specified direction by giving a sharp pull.",3/7/2014,twitch,,
oc oc0,"c__ VERB [WITH OBJECT] 1Officially take possession or control of (something), especially for military purposes.  ‘a nearby house had been ___d by the army’    1.1Take possession of (something) by force. ‘the truck was ___d by a mob’",3/11/2014,commandeer,,
oc oc0,"p__ NOUN mass noun Lung inflammation caused by bacterial or viral infection, in which the air sacs fill with pus and may become solid. Inflammation may affect both lungs (double ___) or only one (single ___).",8/4/2013,pneumonia,,
oc oc0,"b__ NOUN 1A device fitted to something, in particular a weak or injured part of the body, to give support.  ‘a neck ___’    1.1A strengthening piece of iron or timber used in building or carpentry.",3/12/2014,brace,,
oc oc0,"r__ VERB [WITH OBJECT] usually as adjective ___d Give a creased, ruffled, or dishevelled appearance to.  ‘a ___d bed’",3/13/2014,rumple,,
oc oc0,"VERB [NO OBJECT] 1Spin quickly and lightly round, especially repeatedly.  ‘she ___d in delight to show off her new dress’    1.1with object Cause to rotate. ‘she ___d her fork in the pasta’",3/24/2014,twirl,,
oc oc3,"2 [U,sing] (infml) rude behaviour that shows lack of respect for sb: That's enough of your ___, young man! 3 the ___ [sing] (US sl) alcoholic drinks: Keep off the ___! IDM what is ___ for the goose is ___ for the gander (saying) what one person is allowed to do, another person must be allowed to do in similar circumstances. +__y adj rude. +___-boat (also gravy boat)n.",1/26/2013,sauce,,
oc oc3,"n ~(into sth) 1 (a)[U](approv) the ability to see into the true nature of sth; deep understanding: a person of ___ + Show ___ into human character. (b) [C] an instance of this: a book full of remarkable __s. 2[C] an understanding, esp sudden, of the true nature of sth: have/gain a ___ into a problem + She was given an unpleasant ___ into what life would be like as his wife.",2/3/2013,insight,,
oc,"r__ '+2 v 1 to move in a very unsteady way, eg because one is drunk or has been hit: [V] By the end of the fight, he was __ing. [Vpr] They __d out of the pub, both completely drunk. 2 to seem to be spinning round and round, usu as a result of a shock or great emotion: [Vpr] be __ing from/with/under the shock +His mind __d at the news. +3 n a lively Scottish or Irish dance, usu for two or four couples, or the music of this.",2/4/2013,reel,,
oc oc0,"VERB 1Make or become wider, larger, or more open.  no object ‘her eyes ___d with horror’ with object ‘the woman ___d her nostrils’    2  ___ onno object Speak or write at length on (a subject)  ‘the faithful could hear the minister ___ on the role religion could play’",8/25/2013,dilate,,
oc oc0,o__ ADJECTIVE Relating to the sense of smell.  ‘the ___ organs’,3/25/2014,olfactory,,
oc oc0,ADJECTIVE 1Very cold in temperature.  ‘___ water’    1.1(especially of a woman) unable or unwilling to be sexually aroused and responsive. ‘my ex told everyone I was ___’,4/27/2014,frigid,,
oc oc0,"ADVERB & ADJECTIVE (of singing or a spoken remark) in a quiet voice.  as adverb ‘‘It won't be cheap,’ he added ___ ___’ as adjective ‘a ___ ___ remark’",3/28/2014,sotto voce,,
oc oc0,"ADJECTIVE (of regulations, requirements, or conditions) strict, precise, and exacting.  ‘___ guidelines on air pollution’",10/23/2013,stringent,,
oc oc0,"ADJECTIVE 1Neither parallel nor at right angles to a specified or implied line; slanting.  ‘we sat on the settee ___ to the fireplace’    1.1Geometry (of a line, plane figure, or surface) inclined at other than a right angle.",11/3/2013,oblique,,
oc oc0,"n 1A person, typically a woman, who is trained to assist women in childbirth.    1.1A person who helps to create or develop something. ‘he survived to be one of the ___s of the Reformation’",3/30/2014,midwife,,
oc oc0,NOUN informal A lump of a semi-liquid substance.  ‘thick ___s of mozzarella cheese’,4/2/2014,glob,,
oc oc0,"NOUN mass noun 1Rain containing some ice, as when snow melts as it falls.  ‘driving ___ and rain made conditions horrendous’   1.1US A thin coating of ice formed by ___ or rain freezing on coming into contact with a cold surface.",4/3/2014,sleet,,
oc oc0,_q_ NOUN A small close-knit group of people who do not readily allow others to join them.  ‘his flat became a haven for a ___ of young men of similar tastes’ ‘the old-school ___’,9/11/2013,clique,,
oc oc0,VERB 1Make a soft squelching sound when walked on or in.  ‘the mud ___d under my shoes’   1.1informal Yield or cause to yield easily to pressure; squash. no object ‘strawberries so ripe that they ___d if picked too firmly’,4/9/2014,squish,,
oc oc0,VERB [WITH OBJECT] 1Make (a dish or meal) by combining various ingredients.  ‘she began to ___ a dinner likely to appeal to him’    1.1Create or devise (a story or plan) ‘his cronies ___d a simple plan’,5/23/2014,concoct,,
oc oc0,"NOUN 1An outer covering such as a husk or pod, especially the husk of an ear of maize.  ‘Regional fuels like steam from the deep Earth or excess corn ___s will enter custom-designed micropower plants for local feeds to the microgrid.’",4/16/2014,shuck,,
oc oc0,"a__ VERB [WITH OBJECT] 1Reduce the force, effect, or value of.  ‘her intolerance was ___d by an unexpected liberalism’    1.1Reduce the amplitude of (a signal, electric current, or other oscillation) ‘the filter must severely ___ frequencies above 10 Hz’",6/13/2013,attenuate,,
oc oc0,"i__ VERB [WITH OBJECT] 1Seize and take legal custody of (something, especially a vehicle, goods, or documents) because of an infringement of a law.  ‘vehicles parked where they cause an obstruction will be ___d’",4/21/2014,impound,,
oc oc1 oc3,"NOUN 1mass noun The measurement around the middle of something, especially a person's waist.  ‘idle men of great ___’ ‘an ivy-clad tree of immense ___’ count noun ‘a pike with a ___ of 24 inches’",1/5/2013,girth,,
oc oc1 oc3,"l__ NOUN 1A brief or temporary failure of concentration, memory, or judgement.  ‘a ___ of concentration in the second set cost her the match’    1.1A decline from previously high standards. ‘tracing his ___ into petty crime’",12/17/2012,lapse,,
oc oc1 oc3,"e__ v [WITH OBJECT] 1Evoke or draw out (a reaction, answer, or fact) from someone.  ‘I tried to ___ a smile from Joanna’ ‘the work ___d enormous public interest’    1.1archaic Draw forth (something that is latent or potential) into existence. ‘a corrupt heart ___s in an hour all that is bad in us’",6/17/2012,elicit,,
oc oc0,"NOUN A toilet, especially a communal one in a camp or barracks.     ",4/22/2014,latrine,,
oc oc0,"NOUN 1A short high-pitched sound made by an electronic device as a signal or to attract attention.  ‘when your food was ready for eating, the microwave told you so with five ___s’    ",4/28/2014,bleep,,
