oc oc0 oc0,n mass noun Local coagulation or clotting of the blood in a part of the circulatory system.  ‘increased risk of ___’ count noun ‘a coronary ___’,9/10/2014,thrombosis,,
oc oc0 oc0,ADJECTIVE Law (in the UK and some other countries) denoting a judge of a superior court inferior in rank to chief justices.   ,9/14/2014,puisne,,
oc oc0 oc0,"NOUN Botany The petals of a flower, typically forming a whorl within the sepals and enclosing the reproductive organs.   ",9/26/2014,corolla,,
oc oc0 oc0,v informal 1no object Work hard over a period of time.  ‘they were ___ing away to meet a deadline’    1.1with adverbial of direction Walk or move with difficulty or effort. ,5/4/2014,slog,,
oc oc0 oc0,"NOUN Botany The female reproductive organ of a flower, consisting of an ovary, a stigma, and usually a style. It may occur singly or as one of a group.  ",8/20/2014,carpel,,
oc oc0 oc0,ADJECTIVE Not showing due respect for another person; impertinent.  ‘he could have strangled this ___ upstart’   ,9/1/2014,impudent,,
oc oc0 oc0,"NOUN mass noun The use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive.  ‘his admission came after years of ___’ count noun ‘he used a number of poetic ___s’",10/30/2014,circumlocution,,
oc oc0 oc0,"NOUN 1A thing of no great value given or done as a concession to appease someone whose main concerns or demands are not being met.  ‘my agent telephones as a ___ but never finds me work’    2A piece of bread dipped in gravy, soup, or sauce.   ",11/3/2014,sop,,
oc oc0 oc0,NOUN 1often ___s A thing that is complex and difficult to follow.  ‘the ___s of farm policy’    2often ___s A coil or twist.  ‘crosses adorned with elaborate ___s’ ,8/21/2014,convolution,,
oc oc0 oc0,adj 1Incongruously varied in appearance or character; disparate.  ‘a ___ crew of discontents and zealots’    2archaic (of clothing) made up of a variety of colours.  ‘they wore the ___ coat of jesters’ ,11/19/2014,motley,,
oc oc0 oc0,"___ 1A bridge-like overhead structure with a platform supporting equipment such as a crane, signals, or cameras.  ‘the TV cameras on ___s alongside the 17th and 18th holes’ as modifier ‘a ___ crane’   ",10/18/2014,gantry,,
oc oc0 oc0,"NOUN 1A short post, especially one used for supporting the roof in a coal mine.    1.1US A rough board or other length of wood, used for flooring or building.",12/22/2014,puncheon,,
oc oc0 oc0,VERB [WITH OBJECT] often as adjective ___d 1Pierce and make a hole or holes in.  ‘a ___d appendix’   ,9/6/2014,perforate,,
oc oc0 oc0,"NOUN 1A small depression in the flesh, either one that exists permanently or one that forms in the cheeks when one smiles.     1.1A slight depression in the surface of an object. as modifier ‘a new golf ball, with a different ___ pattern’   ",1/16/2015,dimple,,
oc oc0 oc0,"NOUN 1A long, deep cut or wound.  ‘a bad ___ in one leg became infected’    1.1A cleft made as if by a slashing cut. ‘the blast ripped a 25-foot ___ in the hull’",9/17/2014,gash,,
oc oc0 oc0,ADJECTIVE 1Ostentatiously costly and luxurious.  ‘the ___ comfort of a limousine’    1.1Wealthy. ‘his more ___ tenants’,10/13/2013,opulent,,
oc oc0 oc0,"NOUN A soft, moist mass of material, typically consisting of bran, flour, herbs, etc., applied to the body to relieve soreness and inflammation and kept in place with a cloth.",2/12/2015,poultice,,
oc oc0 oc0,VERB [NO OBJECT] Look or gaze in a lascivious or unpleasant way.  ‘bystanders were ___ing at the nude painting’   ,3/3/2015,leer,,
oc oc0 oc0,"VERB [WITH OBJECT] 1Break off (a meeting, legal case, or game) with the intention of resuming it later.  ‘the meeting was ___d until December 4’ no object ‘let's ___ and reconvene at 2 o'clock’   ",11/18/2014,adjourn,,
oc oc0 oc0,"NOUN 1mass noun Heavy-duty waterproof cloth, originally of tarred canvas.  ‘a stretch of roof is covered with ___’  ",3/10/2015,tarpaulin,,
oc oc0 oc0,NOUN 1archaic A measure for liquids equal to a half gallon.    1.1A pot or container holding a measure for liquids equal to a half gallon.,1/25/2015,pottle,,
oc oc0 oc0,NOUN 1A large formal assembly of people.     1.1(in the Church of England) a representative assembly of clergy of the province of Canterbury or York. ,10/22/2014,convocation,,
oc oc0 oc0,"NOUN 1A place, especially a civilian's house, where soldiers are lodged temporarily.  ‘the sergeant gave them leave to rest while officers went in search of ___s’ ",2/11/2015,billet,,
oc oc0 oc0,NOUN mass noun 1Mounted guns; artillery.  ‘the gun was a brand new piece of ___’    1.1US Munitions. ,3/9/2015,ordnance,,
oc oc0,"n(a) [U] the art or practice of mocking people, institutions, etc making them appear ridiculous in order to show how foolish, wicked or incompetent they are: a work full of coarse/cruel/savage ___ +political ___. + __ical adj. __ically adv. __ist n. __ize,-ise v.",4/22/2013,satire,,
