oc,"v[Vn] 1 to join two ends of rope by weaving the strands of one into the strands of the other. 2 to join two pieces of wood, tape, film, etc at the ends. IDM get __d (Brit infml) to get married. n",11/16/2011,splice,,
oc,"v 1 ~A on (B); B (with A) to put a soft substance on a surface in a rough or careless way: [Vnp, Vnpr] He __d some red paint on (the canvas). [Vn, Vnpr] She __d her face (with thick make-up). 2 (infml): [Vn] Children __ing yellow circles with  their fingers [also V]. +___ n",9/5/2012,daub,,
oc,"v 1 (used with it and a that-clause; not usu in the continuous tenses) to become known; to prove to be so: [V.that] This, it later __d, was untrue. +It __d that the gang had had a contact inside the bank. 2 to happen: [V] You’re meeting him tomorrow? Let me know what __s.",5/31/2012,transpire,,
oc oc2 oc3,_11_ adj ~(to sb) not showing respect; rude: make a ___ remark + a very ___ child + the job should be done. __ce n __ly adv,1/16/2012,impertinent,,
oc oc3,"adj 1 ~(in/with sth) giving or doing sth generously or excessively: be ___ with one's money +He was ___ in/with his praise. 2 great in extent, rich in quality, and usu costing a lot of money: a ___ display/meal/reception +___ praise/illustrations/costumes/incentives. +___ v PHR V ___ sth on/upon sb/sth to give sth to sb/sth generously or excessively: ___ millions of dollars on a failed election campaign. __ly adv",5/14/2012,lavish,,
oc,"n a sudden desire or idea, esp an unusual or unreasonable one: I know it's an odd thing to ask. Just call it an old man's ___. +It's just something I bought on a ___ +Staff are moved from one department to another at the ___ of the boss. +She seems ready to cater to/indulge (ie satisfy) his every ___. +follow the __s of fashion.",2/12/2013,whim,,
oc,"n 1 a separate part or room in a hospital for a particular group of patients: a children's/maternity/surgical ___. 2 a division of a city, etc that elects and is represented by a councillor in local government. 3 a person, esp a child, who is being cared for by a guardian or is under the protection of a lawcourt.",2/13/2013,ward,,
oc oc3,"v 1 [V] (of a cock) to make repeated loud high sounds, esp early in the morning. 2[V] (of a baby) to make sounds showing pleasure. 3 ~(about/over sb/sth) to express great pride and satisfaction, esp about one's own success: [V,Vpr] He was __ing with pleasure (about winning our golf match). [also V.speech].",2/20/2013,crow2,,
oc oc3,"+1 adj (physics) capable of nuclear _(n)_. +2n [U] 1 (physics) the splitting of the nucleus of an atom, resulting in the release of a large amount of energy: nuclear ___. 2 (biology) the division of cells into new cells as a method of reproducing the species.",2/24/2013,+1 fissile +2 fission,,
oc,"v 1 to make sth ready for use or action; to prepare sth: [Vn] ___ a fuse +The bomb was __d, ready to explode. 2 [Vn] to prepare wood, metal, etc for painting by covering it with a substance that helps the paint to stay on the surface. 3 ~sb (with sth) to supply sb with information before a particular event, sometimes dishonestly, so that they know now to act: [Vn] The witness has been __d by a lawyer. IDM ___ the pump   to encourage the growth.",2/28/2013,prime3,,
oc,"v 1 ~(with sth) (at sth) to become pale because of fear, shock, etc: [V] She __d visibly when I told her the news. [Vpr] He __d (with fear) at the sight of the snake. 2 to prepare food, esp vegetables, by putting it briefly in boiling water: [Vn] __d broccoli + You ___ almonds to remove their skins.",2/13/2013,blanch,,
oc,"n [pl] 1 (a) members of a male religious group; brothers (3). (b) members of the Christian Church, or certain other religious groups. 2 (often rhet) people having a common interest or engaged in a common activity: We must take care to protect the weaker ___ in our society.",2/14/2013,brethren,,
oc,"n 1 a device for stirring eggs, cream, etc very fast: an electric ___. 2 a quick light brushing movement: a ___ of a horse's tail. +___v 1 (a) to take sb/sth away or in the specified direction quickly and suddenly: [Vnp] The waiter __d away the plates before we had finished. (b): [Vp] He __d off before I could speak to him. 2:[Vn] ___ the egg whites until stiff. 3: [Vn] The horse __d its tail angrily.",1/29/2013,whisk,,
oc,"adj (fml) 1 having a full deep sound: a ___ voice/tone. 2 (of language, words, etc) sounding impressive and important: a ___ style of writing. + __ity n[U,C] (fml) the __ity of the bass voices +rich orchestral __ities. __ly adv: speak __ly.",2/15/2013,sonorous,,
oc oc0 oc3 27,"a_p_ v to reduce the intensity of sb's feelings, usu by satisfying their needs or demands partly or in full: [Vn] measures intended to ___ hunger/curiosity. +___ment n[U]: a policy of ___ment.",1/22/2012,appease,,
oc,"PHR V to resist an attack or advance by sb: Though outnumbered, they __d ___ (repeated attacks by) the enemy for three days.",,hold sb/sth off,,
oc,n (a) (in art) a small plump naked child with wings. (b) a child who looks sweet or innocent: What a little ___!,4/27/2011,cherub,,
oc oc0 oc2,"n a small raised and usu enclosed platform in a church where a priest, etc stands to speak to the people there. ___s are usu made of wood or stone: (fig) The policy has been widely condemned from the ___ (ie by members of the clergy).",12/6/2012,pulpit,,
oc oc2,"n [U] 1 (law) the system by which a person found guilty of a crime is not sent to prison, but is legally required to report reqularly to an official for a fixed period of time: She was convicted of reckless driving and put on ___ for three years. 2 the testing of a person's abilities or behaviour to find out if he or she is suitable, esp for a job.",2/17/2013,probation,,
oc,"n the triangular upper part of the side or end of a building, under a sloping roof: __ends. +__d adj a __d house/roof.",2/16/2013,gable,,
oc oc3,n 1 a shade or variety of a colour: __s of green in the sky at dawn +white with a bluish ___. 2 (a) a weak dye for colouring the hair. +___ v (esp passive) [Vn] __d glass/glasses (ie made slightly darker) +blue-__d hair.,11/19/2012,tint,,
oc,n 2 [U] (infml) Strength from powerful muscles: He's got plenty of ___. 3[C] (infml) a complaint; a grumble :He came to me with a ___ about the noise we'd been making. +__v ~(about sth/sb)(infml) to complain: [Vpr] What are you __ing about now? [also V]. PHR V ___ sth up (infml esp US) to add force or weight to sth: The company are taking on more staff to ___ up production.,2/17/2013,beef,,
oc,"adv at a high cost: If you want to make money, buy cheap and sell ___. __ly adv 1 very much: She would __ly like to get that job. 2 with great loss, damage, etc: She paid __ly for her mistake (ie It caused her many problems). +Victory was __ly bought (eg because many soldiers died).",2/19/2013,dear,,
oc,"conj 1 (fml) in contrast or comparison with the fact that; while: He earns £10000 a year ___ she gets at least £30000 + We thought she was rather arrogant, ___ in fact she was just very shy. 2 (esp law)(at the beginning of sentence in official documents) taking into consideration the fact that.",2/25/2013,whereas,,
oc oc0 oc2 oc2 oc3 28,"v ~(on sth) 1 (of a plan, etc) to fail; to break down: [V] The project __d as a result of lack of finance. [Vpr] The talks __d on the lack of mutual trust. 2 (of a ship) to fill with water and sink: [Vpr] The boat __d on rocks near the harbour. [also V].",3/16/2012,founder,,
